"ITTER107_A","Territorio di residenza","TIPO_DATO14","Tipo dato","ITTER107_B","Territorio dell'evento","ETA1","Età e classe di età","TITOLO_STUDIO","Titolo di studio","CONDIZIONE_DICH","Condizione professionale","STRIPRODUTTIVA","Storia riproduttiva della donna","NUMEROSITA","Numerosità dell'evento","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC1","Piemonte","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",451,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC2","Valle d'Aosta / Vallée d'Aoste","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",7,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC3","Liguria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",170,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC4","Lombardia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",947,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITDA","Trentino Alto Adige / Südtirol","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",88,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD3","Veneto","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",326,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD4","Friuli-Venezia Giulia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",100,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD5","Emilia-Romagna","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",434,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE1","Toscana","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",341,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE2","Umbria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",79,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE3","Marche","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",114,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF1","Abruzzo","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",92,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF2","Molise","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",28,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF3","Campania","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",477,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF4","Puglia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",500,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF5","Basilicata","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",26,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF6","Calabria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",131,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG1","Sicilia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",460,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG2","Sardegna","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",108,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC1","Piemonte","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1145,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC2","Valle d'Aosta / Vallée d'Aoste","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",24,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC3","Liguria","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",428,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC4","Lombardia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",2296,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITDA","Trentino Alto Adige / Südtirol","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",220,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD3","Veneto","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",817,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD4","Friuli-Venezia Giulia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",223,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD5","Emilia-Romagna","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1157,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE1","Toscana","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",917,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE2","Umbria","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",175,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE3","Marche","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",278,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF1","Abruzzo","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",240,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF2","Molise","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",61,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF3","Campania","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1152,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF4","Puglia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1142,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF5","Basilicata","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",80,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF6","Calabria","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",300,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG1","Sicilia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",955,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG2","Sardegna","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",280,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC1","Piemonte","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1324,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC2","Valle d'Aosta / Vallée d'Aoste","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",33,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC3","Liguria","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",525,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC4","Lombardia","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",2634,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITDA","Trentino Alto Adige / Südtirol","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",235,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD3","Veneto","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",868,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD4","Friuli-Venezia Giulia","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",278,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD5","Emilia-Romagna","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1477,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE1","Toscana","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",1038,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE2","Umbria","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",211,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE3","Marche","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",286,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF1","Abruzzo","Y25-29","25-29 anni","99","totale","99","totale","ALL","totale","TOT","totale","2018","2018",299,,
